complaint_id,state,district,latitude,longitude,issue_type,severity,status,date
41,Delhi,New Delhi,28.631982249472916,77.19537785038735,Sewage Leakage,Medium,In Progress,2025-05-28
42,Delhi,New Delhi,28.60571220226543,77.21904996331041,Traffic Congestion,Medium,Open,2025-07-01
43,Delhi,New Delhi,28.648302183930312,77.19010983958492,Streetlight Failure,Medium,Open,2026-01-31
44,Delhi,New Delhi,28.610900081791378,77.2516090600117,Road Damage,Medium,In Progress,2025-12-09
45,Delhi,New Delhi,28.60982208965713,77.16672914979824,Traffic Congestion,Low,In Progress,2025-08-03
46,Delhi,New Delhi,28.57462815102536,77.21902259369647,Water Supply Issue,Medium,In Progress,2025-06-19
47,Delhi,New Delhi,28.572334885996746,77.15937883265457,Sewage Leakage,Critical,Open,2025-06-09
48,Delhi,New Delhi,28.60912894620103,77.1670913321129,Sewage Leakage,Critical,Resolved,2025-03-20
49,Delhi,New Delhi,28.57972400179685,77.2114779472203,Water Supply Issue,Medium,Open,2025-09-13
50,Delhi,New Delhi,28.598828399925075,77.2472315231246,Garbage Collection,Critical,Resolved,2025-03-26
51,Delhi,New Delhi,28.623563871906963,77.24912616881342,Sewage Leakage,Medium,Resolved,2025-03-22
52,Delhi,New Delhi,28.590449736910976,77.18059777865442,Public Transport Issue,Critical,In Progress,2025-10-19
53,Delhi,New Delhi,28.59814308634635,77.16033095280319,Sewage Leakage,Medium,In Progress,2025-03-15
54,Delhi,New Delhi,28.64176434515265,77.16823061137974,Garbage Collection,Critical,Open,2025-06-17
55,Delhi,New Delhi,28.64117368409654,77.17524174085197,Public Transport Issue,Low,In Progress,2026-03-12
56,Delhi,New Delhi,28.569406530656472,77.24781579452537,Road Damage,Medium,Resolved,2026-02-11
57,Delhi,New Delhi,28.653945091464024,77.20122982508207,Water Supply Issue,High,Resolved,2025-06-15
58,Delhi,New Delhi,28.572700396148175,77.16755559406738,Electricity Problem,High,Resolved,2026-01-07
59,Delhi,New Delhi,28.624352518033735,77.24052476515767,Electricity Problem,Low,In Progress,2025-11-02
60,Delhi,New Delhi,28.594053036671074,77.17341946030275,Sewage Leakage,Low,In Progress,2025-08-08
61,Delhi,New Delhi,28.604069464256746,77.18157558465848,Water Supply Issue,Low,Resolved,2025-03-12
62,Delhi,New Delhi,28.58861108745606,77.24200705393723,Electricity Problem,Critical,Open,2025-12-08
63,Delhi,New Delhi,28.630551863874572,77.17749165386498,Garbage Collection,Low,Open,2025-09-01
64,Delhi,New Delhi,28.597571573461707,77.20077368344246,Water Supply Issue,Low,Resolved,2025-05-13
65,Delhi,New Delhi,28.57830672782722,77.17908783526411,Road Damage,High,Open,2025-04-04
66,Delhi,New Delhi,28.61148535408769,77.2208386742252,Water Supply Issue,Critical,Resolved,2025-03-22
67,Delhi,New Delhi,28.65478813932678,77.19512827776548,Sewage Leakage,Critical,Open,2026-01-24
68,Delhi,New Delhi,28.579077468064067,77.17479348395408,Traffic Congestion,Low,Resolved,2025-10-10
69,Delhi,New Delhi,28.661079653188057,77.21187068692639,Electricity Problem,Low,Open,2025-06-13
70,Delhi,New Delhi,28.631533060157807,77.21753093608075,Garbage Collection,Medium,In Progress,2026-02-10
71,Delhi,New Delhi,28.610698809456274,77.2143049969388,Water Supply Issue,Low,In Progress,2025-06-13
72,Delhi,New Delhi,28.634356463568576,77.19249398192886,Traffic Congestion,Medium,Resolved,2025-05-02
73,Delhi,New Delhi,28.613936515121384,77.19935512991732,Sewage Leakage,Critical,In Progress,2025-04-26
74,Delhi,New Delhi,28.639080433452087,77.23070209323487,Electricity Problem,High,Resolved,2025-09-30
75,Delhi,New Delhi,28.62280741296488,77.2176608023045,Sewage Leakage,Medium,Resolved,2025-07-21
76,Delhi,New Delhi,28.584254826968888,77.25626332914224,Road Damage,Medium,Resolved,2026-01-17
77,Delhi,New Delhi,28.649047564003034,77.25064993926132,Traffic Congestion,Medium,Resolved,2025-08-17
78,Delhi,New Delhi,28.56720574963012,77.22579707392855,Electricity Problem,Low,Open,2025-05-02
79,Delhi,New Delhi,28.583647191384443,77.21085197780006,Traffic Congestion,Critical,In Progress,2025-12-13
80,Delhi,New Delhi,28.656550882149833,77.19962398993253,Traffic Congestion,Low,Resolved,2026-01-14
81,Delhi,New Delhi,28.595461370475686,77.21421338440953,Sewage Leakage,Medium,Resolved,2025-06-24
82,Delhi,New Delhi,28.639468378372385,77.22845486553415,Streetlight Failure,Critical,Resolved,2025-05-26
83,Delhi,New Delhi,28.625852347806294,77.2578361110135,Garbage Collection,Medium,Resolved,2026-01-28
84,Delhi,New Delhi,28.614079437860827,77.21014444942254,Water Supply Issue,Critical,Open,2025-05-24
85,Delhi,New Delhi,28.631843005114852,77.17343008487694,Electricity Problem,Low,Open,2025-11-20
86,Delhi,New Delhi,28.643549239561498,77.22404375845443,Garbage Collection,Critical,In Progress,2025-10-05
87,Delhi,New Delhi,28.612741298243613,77.23278481767782,Water Supply Issue,Low,Open,2026-02-07
88,Delhi,New Delhi,28.57980824550186,77.25123614526842,Traffic Congestion,Medium,Resolved,2026-02-06
89,Delhi,New Delhi,28.600655794351866,77.25854158408016,Electricity Problem,High,Resolved,2025-05-04
90,Delhi,New Delhi,28.581381024183706,77.23322211190228,Road Damage,Low,In Progress,2025-08-14
91,Delhi,New Delhi,28.575569399002667,77.22434745148527,Electricity Problem,Low,In Progress,2025-04-14
92,Delhi,New Delhi,28.613556442344095,77.21288481288717,Road Damage,Medium,In Progress,2026-02-24
93,Delhi,New Delhi,28.56794759265491,77.19081143150726,Public Transport Issue,Low,Open,2025-03-14
94,Delhi,New Delhi,28.602928382336128,77.17210869912404,Traffic Congestion,High,Resolved,2025-07-20
95,Delhi,New Delhi,28.619255713427478,77.21114438075874,Garbage Collection,Low,Open,2026-01-06
96,Delhi,New Delhi,28.607025825073354,77.24997014597712,Streetlight Failure,Critical,Open,2026-03-10
97,Delhi,New Delhi,28.661414822258003,77.16940369988966,Road Damage,Critical,Open,2025-06-02
98,Delhi,New Delhi,28.65485309128277,77.18946711876404,Electricity Problem,Critical,Resolved,2025-11-24
99,Delhi,New Delhi,28.65360954504112,77.19825521584212,Traffic Congestion,Low,In Progress,2025-09-14
100,Delhi,New Delhi,28.634200476579654,77.17326998555015,Electricity Problem,Medium,Resolved,2025-09-24
101,Delhi,South Delhi,28.574046114188125,77.17521554491444,Sewage Leakage,Critical,In Progress,2026-01-21
102,Delhi,South Delhi,28.55682173798533,77.22392349471241,Water Supply Issue,Low,Resolved,2025-10-13
103,Delhi,South Delhi,28.540301789655114,77.23120328496465,Garbage Collection,Critical,In Progress,2025-11-17
104,Delhi,South Delhi,28.499157895204107,77.18368798121132,Public Transport Issue,Medium,Resolved,2025-08-04
105,Delhi,South Delhi,28.54775387750819,77.19042738569006,Garbage Collection,High,In Progress,2025-12-03
106,Delhi,South Delhi,28.503525943923837,77.16532239621517,Sewage Leakage,High,Resolved,2025-05-09
107,Delhi,South Delhi,28.52267648792768,77.18754891255782,Electricity Problem,Low,Resolved,2026-01-30
108,Delhi,South Delhi,28.54200142864506,77.21418689301314,Water Supply Issue,Low,Open,2025-11-26
109,Delhi,South Delhi,28.502072444075168,77.1526234606463,Streetlight Failure,Medium,Open,2025-12-23
110,Delhi,South Delhi,28.529753219228162,77.20093923652746,Streetlight Failure,Medium,In Progress,2026-03-03
111,Delhi,South Delhi,28.49672880953627,77.21060585125227,Public Transport Issue,Low,Open,2025-11-23
112,Delhi,South Delhi,28.553997203463194,77.20635288214969,Garbage Collection,Medium,In Progress,2026-01-07
113,Delhi,South Delhi,28.57165110856215,77.19198697867381,Sewage Leakage,Medium,Resolved,2025-11-24
114,Delhi,South Delhi,28.493532271792116,77.23081298320861,Road Damage,Low,In Progress,2025-04-08
115,Delhi,South Delhi,28.561304859478163,77.19054417496112,Road Damage,Low,Open,2025-12-07
116,Delhi,South Delhi,28.50959334048424,77.19532873572079,Water Supply Issue,Low,Open,2025-06-04
117,Delhi,South Delhi,28.553463807292623,77.18710079758695,Public Transport Issue,Critical,Open,2025-05-14
118,Delhi,South Delhi,28.49124529949512,77.22609768047089,Road Damage,Low,In Progress,2026-01-02
119,Delhi,South Delhi,28.486028341254663,77.20029099881579,Water Supply Issue,Low,Open,2025-11-03
120,Delhi,South Delhi,28.49484835225723,77.17999985265413,Streetlight Failure,Low,Open,2025-07-07
121,Delhi,South Delhi,28.53681525852959,77.23209006852257,Traffic Congestion,Low,In Progress,2025-11-11
122,Delhi,South Delhi,28.5580055977098,77.13796114744697,Road Damage,Critical,Resolved,2025-07-09
123,Delhi,South Delhi,28.551620584233117,77.22079755387638,Garbage Collection,Medium,Open,2025-11-25
124,Delhi,South Delhi,28.503443845491336,77.17794527299718,Streetlight Failure,Low,Resolved,2025-08-26
125,Delhi,South Delhi,28.548388558665636,77.1690315925541,Garbage Collection,High,In Progress,2025-11-06
126,Delhi,South Delhi,28.53071151435874,77.17102602112605,Garbage Collection,Critical,Open,2025-11-12
127,Delhi,South Delhi,28.48300748028192,77.15428686480374,Streetlight Failure,Medium,Open,2025-06-27
128,Delhi,South Delhi,28.536588299894195,77.13577503239105,Public Transport Issue,Medium,Open,2025-05-19
129,Delhi,South Delhi,28.518826897569326,77.17035078319728,Streetlight Failure,High,In Progress,2025-11-10
130,Delhi,South Delhi,28.537098085840267,77.13723590967017,Water Supply Issue,Critical,In Progress,2025-06-02
131,Delhi,South Delhi,28.55767168289452,77.20010388943732,Road Damage,High,Resolved,2026-01-24
132,Delhi,South Delhi,28.55029939296842,77.13795425931664,Sewage Leakage,Low,Resolved,2025-12-29
133,Delhi,South Delhi,28.49812268985452,77.13572493284782,Road Damage,Critical,Open,2025-07-04
134,Delhi,South Delhi,28.54386096160989,77.2214079038291,Garbage Collection,Critical,Open,2025-05-08
135,Delhi,South Delhi,28.563067735577324,77.20053948076362,Garbage Collection,Medium,Resolved,2025-05-18
136,Delhi,South Delhi,28.47973514312163,77.14010907553005,Road Damage,Medium,Open,2026-03-04
137,Delhi,South Delhi,28.55186855048022,77.1764177358302,Streetlight Failure,High,Open,2025-06-23
138,Delhi,South Delhi,28.483347336263698,77.1393333169635,Public Transport Issue,Medium,Open,2025-07-27
139,Delhi,South Delhi,28.564043485733887,77.21014322317819,Road Damage,Low,Open,2025-12-23
140,Delhi,South Delhi,28.55892958090115,77.21043078214727,Water Supply Issue,High,In Progress,2025-07-19
141,Delhi,South Delhi,28.561678009332283,77.16956896976333,Water Supply Issue,Medium,Open,2025-09-08
142,Delhi,South Delhi,28.52512944484176,77.2037571525303,Public Transport Issue,Medium,In Progress,2025-09-23
143,Delhi,South Delhi,28.541224135937522,77.19804190920689,Road Damage,High,Open,2025-11-12
144,Delhi,South Delhi,28.49728436775963,77.2294354766839,Streetlight Failure,Low,Open,2025-05-28
145,Delhi,South Delhi,28.52227237539149,77.15422407154712,Public Transport Issue,High,Resolved,2025-06-19
146,Delhi,South Delhi,28.475138952101485,77.21214343899956,Sewage Leakage,Medium,Resolved,2025-05-02
147,Delhi,South Delhi,28.539174603890764,77.15178469350757,Streetlight Failure,High,Open,2025-10-13
148,Delhi,South Delhi,28.495068201601864,77.1848004536106,Electricity Problem,High,Open,2026-02-16
149,Delhi,South Delhi,28.529926493776703,77.19881921545176,Road Damage,Low,In Progress,2025-06-17
150,Delhi,South Delhi,28.55700703678246,77.16880778191867,Sewage Leakage,High,In Progress,2025-03-20
151,Delhi,South Delhi,28.54781495628413,77.16032622842513,Streetlight Failure,Low,Open,2026-02-28
152,Delhi,South Delhi,28.54788115929996,77.18001788372798,Road Damage,High,Resolved,2025-10-23
153,Delhi,South Delhi,28.48189068332959,77.23287330950122,Water Supply Issue,Low,In Progress,2026-02-05
154,Delhi,South Delhi,28.545097656403684,77.19941938709066,Road Damage,High,In Progress,2025-09-29
155,Delhi,South Delhi,28.52668107982345,77.21808313291956,Water Supply Issue,Critical,Open,2025-11-04
156,Delhi,South Delhi,28.531713866460947,77.21071551415378,Traffic Congestion,Critical,Resolved,2026-02-05
157,Delhi,South Delhi,28.500774353396032,77.20127559857897,Water Supply Issue,Critical,Open,2025-08-16
158,Delhi,South Delhi,28.47504840174097,77.20524871588923,Garbage Collection,Critical,Resolved,2025-09-01
159,Delhi,South Delhi,28.519626676148786,77.15660612813062,Electricity Problem,Critical,Open,2025-10-14
160,Delhi,South Delhi,28.50008709852561,77.14390560198932,Traffic Congestion,Critical,Resolved,2025-10-18
161,Delhi,South Delhi,28.563232892713152,77.21292185965908,Water Supply Issue,Low,In Progress,2025-04-24
162,Delhi,South Delhi,28.538207198708722,77.14493928624475,Garbage Collection,Medium,Open,2025-04-23
163,Delhi,South Delhi,28.500416275920415,77.18533040937862,Road Damage,High,In Progress,2025-12-03
164,Delhi,South Delhi,28.48292971747458,77.13947507662559,Public Transport Issue,Medium,Resolved,2025-12-29
165,Delhi,South Delhi,28.48577833576696,77.17333695954632,Garbage Collection,Critical,Resolved,2025-08-08
166,Delhi,South Delhi,28.478883060431848,77.19041311769774,Road Damage,Critical,In Progress,2025-06-16
167,Delhi,South Delhi,28.498013874457463,77.1460093207939,Traffic Congestion,Medium,In Progress,2025-12-22
168,Delhi,South Delhi,28.539305914739725,77.14871664648533,Traffic Congestion,High,Resolved,2026-03-11
169,Delhi,South Delhi,28.542743018867444,77.21050729994239,Road Damage,Critical,In Progress,2025-10-10
170,Maharashtra,Mumbai,19.043213143407474,72.88760994012087,Road Damage,Critical,In Progress,2025-06-17
171,Maharashtra,Mumbai,19.06912407278781,72.89289237519539,Road Damage,Low,Resolved,2025-03-28
172,Maharashtra,Mumbai,19.050950590770373,72.90951427148487,Garbage Collection,Critical,In Progress,2025-04-27
173,Maharashtra,Mumbai,19.12124620548795,72.90241945915186,Public Transport Issue,Medium,In Progress,2026-01-16
174,Maharashtra,Mumbai,19.11720512347206,72.86220707456286,Traffic Congestion,Critical,Open,2025-09-27
175,Maharashtra,Mumbai,19.117954813968883,72.91017905356847,Traffic Congestion,High,In Progress,2025-10-03
176,Maharashtra,Mumbai,19.045212806416295,72.84950240923187,Garbage Collection,Medium,In Progress,2026-01-20
177,Maharashtra,Mumbai,19.044942794973974,72.8849286140894,Water Supply Issue,High,Resolved,2025-05-31
178,Maharashtra,Mumbai,19.028445466684516,72.83690064533468,Water Supply Issue,Critical,Open,2025-10-25
179,Maharashtra,Mumbai,19.07661957090694,72.84728809458474,Sewage Leakage,Medium,Resolved,2026-02-02
180,Maharashtra,Mumbai,19.081428244314523,72.90298041053833,Sewage Leakage,Critical,In Progress,2025-10-21
181,Maharashtra,Mumbai,19.11004318463755,72.89656484359233,Public Transport Issue,Critical,Open,2025-04-02
182,Maharashtra,Mumbai,19.04546630108053,72.8511877888872,Road Damage,Critical,Open,2025-07-30
183,Maharashtra,Mumbai,19.07699566208237,72.86045351123782,Sewage Leakage,High,In Progress,2025-09-06
184,Maharashtra,Mumbai,19.039876928925537,72.87504496377248,Water Supply Issue,Critical,Resolved,2025-12-27
185,Maharashtra,Mumbai,19.103948325337274,72.9139056383818,Road Damage,High,Resolved,2025-04-21
186,Maharashtra,Mumbai,19.043304793569295,72.89161448301775,Water Supply Issue,Medium,Resolved,2025-03-13
187,Maharashtra,Mumbai,19.07575725435357,72.87083589639875,Electricity Problem,Medium,Resolved,2025-08-18
188,Maharashtra,Mumbai,19.116744705313362,72.86144193006461,Streetlight Failure,Medium,In Progress,2025-08-16
189,Maharashtra,Mumbai,19.031923197056884,72.86445562158687,Traffic Congestion,Medium,Resolved,2025-08-16
190,Maharashtra,Mumbai,19.103202082326913,72.87961409934015,Traffic Congestion,High,In Progress,2026-02-19
191,Maharashtra,Mumbai,19.05598516599488,72.84827686668577,Garbage Collection,High,In Progress,2025-04-21
192,Maharashtra,Mumbai,19.125668566369605,72.83418517227392,Garbage Collection,Medium,In Progress,2026-02-25
193,Maharashtra,Mumbai,19.0338224552209,72.90321645644444,Electricity Problem,Critical,Resolved,2025-04-28
194,Maharashtra,Mumbai,19.1255419556325,72.88299237806419,Water Supply Issue,Medium,In Progress,2025-11-30
195,Maharashtra,Mumbai,19.031697445483037,72.877638262342,Public Transport Issue,High,Resolved,2025-04-08
196,Maharashtra,Mumbai,19.066919527168558,72.86034379465741,Sewage Leakage,High,In Progress,2025-03-17
197,Maharashtra,Mumbai,19.092978683085203,72.85939557882122,Road Damage,Low,Resolved,2025-09-08
198,Maharashtra,Mumbai,19.083873188786697,72.87758630942851,Public Transport Issue,High,Open,2025-10-23
199,Maharashtra,Mumbai,19.12216308814183,72.83638585881694,Streetlight Failure,Critical,Resolved,2025-08-06
200,Maharashtra,Mumbai,19.105495863286386,72.85308376834318,Public Transport Issue,Critical,Open,2025-08-01
201,Maharashtra,Mumbai,19.0358870856783,72.84427044547165,Streetlight Failure,High,Resolved,2026-03-12
202,Maharashtra,Mumbai,19.07703846452754,72.91793919733493,Water Supply Issue,Low,Resolved,2025-08-31
203,Maharashtra,Mumbai,19.031316138293203,72.82835970526796,Streetlight Failure,Medium,Open,2026-02-22
204,Maharashtra,Mumbai,19.10965410983043,72.91037259224672,Garbage Collection,Medium,In Progress,2025-04-10
205,Maharashtra,Mumbai,19.042886439981935,72.8814313083216,Public Transport Issue,Critical,Open,2026-01-31
206,Maharashtra,Mumbai,19.045391518705635,72.83368572638355,Public Transport Issue,Critical,Resolved,2025-03-21
207,Maharashtra,Mumbai,19.101621040282424,72.85362152252584,Road Damage,High,Open,2025-10-18
208,Maharashtra,Mumbai,19.04594108165145,72.85945179985633,Traffic Congestion,High,In Progress,2025-12-10
209,Maharashtra,Mumbai,19.079142110544453,72.84425416784639,Road Damage,Low,Resolved,2026-01-28
210,Maharashtra,Mumbai,19.0888507657346,72.89385875474616,Garbage Collection,High,In Progress,2025-10-16
211,Maharashtra,Mumbai,19.069399448899436,72.9204969446941,Streetlight Failure,Critical,In Progress,2025-07-16
212,Maharashtra,Mumbai,19.117703758176084,72.92215653807649,Traffic Congestion,High,Resolved,2025-11-20
213,Maharashtra,Mumbai,19.049701100560338,72.83273482211868,Streetlight Failure,Critical,Resolved,2025-11-13
214,Maharashtra,Mumbai,19.103816466138984,72.90441644956087,Streetlight Failure,High,Resolved,2025-04-17
215,Maharashtra,Mumbai,19.03534450022884,72.9035904153409,Road Damage,Low,Resolved,2025-08-23
216,Maharashtra,Mumbai,19.10263343559766,72.89628168247313,Garbage Collection,Medium,Open,2025-04-21
217,Maharashtra,Mumbai,19.045235954383916,72.84960316427298,Garbage Collection,Medium,In Progress,2026-01-02
218,Maharashtra,Mumbai,19.027033999196966,72.8788929411587,Sewage Leakage,Medium,In Progress,2025-12-15
219,Maharashtra,Mumbai,19.047889576466066,72.87776747915832,Electricity Problem,Low,Resolved,2026-03-08
220,Maharashtra,Mumbai,19.063378290273807,72.89429227315215,Water Supply Issue,Critical,Open,2026-02-27
221,Maharashtra,Mumbai,19.082477653920716,72.91619451060018,Electricity Problem,Low,Resolved,2025-05-10
222,Maharashtra,Mumbai,19.0781822950573,72.89154548266293,Streetlight Failure,High,Resolved,2025-05-21
223,Maharashtra,Mumbai,19.10924428068347,72.86158417031022,Garbage Collection,Critical,Open,2025-11-11
224,Maharashtra,Pune,18.52609299432081,73.8476845960457,Streetlight Failure,Low,Open,2025-12-02
225,Maharashtra,Pune,18.488713897920544,73.87100193330318,Public Transport Issue,High,Open,2025-12-15
226,Maharashtra,Pune,18.537017915638696,73.87920096282437,Water Supply Issue,High,Resolved,2025-12-05
227,Maharashtra,Pune,18.50434755007509,73.8140685171588,Sewage Leakage,Critical,Resolved,2025-11-04
228,Maharashtra,Pune,18.554647392923687,73.84919014254451,Sewage Leakage,Medium,Resolved,2025-06-17
229,Maharashtra,Pune,18.507533419459396,73.81467843162372,Electricity Problem,Critical,Resolved,2025-06-14
230,Maharashtra,Pune,18.56955570432359,73.87200697317375,Sewage Leakage,Medium,Open,2025-06-08
231,Maharashtra,Pune,18.49795636184813,73.84087467807447,Electricity Problem,Low,Open,2025-06-11
232,Maharashtra,Pune,18.524959412969594,73.81674185661268,Road Damage,Low,Resolved,2025-07-26
233,Maharashtra,Pune,18.50012723239319,73.8963247217973,Electricity Problem,High,Resolved,2025-03-12
234,Maharashtra,Pune,18.531387545857672,73.84058564152016,Road Damage,High,Resolved,2025-07-22
235,Maharashtra,Pune,18.543921490464466,73.85084750475986,Public Transport Issue,Medium,Resolved,2025-08-05
236,Maharashtra,Pune,18.533604561748646,73.87072070555621,Garbage Collection,High,Open,2026-02-04
237,Maharashtra,Pune,18.470777641305066,73.88785079918804,Public Transport Issue,Critical,Open,2025-08-10
238,Maharashtra,Pune,18.48278343429616,73.88735053680224,Public Transport Issue,Critical,Open,2026-01-02
239,Maharashtra,Pune,18.53492157473006,73.87329552522515,Sewage Leakage,Low,Resolved,2025-09-17
240,Maharashtra,Pune,18.56899212872903,73.82962291107371,Water Supply Issue,Critical,Resolved,2025-06-13
241,Maharashtra,Pune,18.499887593178165,73.84417968125247,Traffic Congestion,Critical,Resolved,2026-02-07
242,Maharashtra,Pune,18.530276915170624,73.8886050984615,Traffic Congestion,Critical,Resolved,2026-01-06
243,Maharashtra,Pune,18.53469399491433,73.83348529102098,Road Damage,Low,Resolved,2025-09-23
244,Maharashtra,Pune,18.527274440401147,73.87491853217344,Electricity Problem,High,Open,2025-11-02
245,Maharashtra,Pune,18.489411893358337,73.85023461698385,Streetlight Failure,High,In Progress,2025-03-20
246,Maharashtra,Pune,18.486421262507022,73.83899746310787,Traffic Congestion,Medium,In Progress,2025-06-09
247,Maharashtra,Pune,18.503136911875604,73.88224810784358,Garbage Collection,Critical,Open,2026-02-12
248,Maharashtra,Pune,18.54332560583864,73.85572966761417,Streetlight Failure,Low,Open,2025-03-25
249,Maharashtra,Pune,18.553562129606128,73.89603031893672,Streetlight Failure,High,In Progress,2026-02-02
250,Maharashtra,Pune,18.547378282875282,73.83550511389532,Garbage Collection,High,Open,2025-09-18
251,Maharashtra,Pune,18.562213598057333,73.84666770412616,Streetlight Failure,Medium,Resolved,2025-08-24
252,Maharashtra,Pune,18.567586503905442,73.86509166552328,Electricity Problem,High,In Progress,2025-04-25
253,Maharashtra,Pune,18.50970899340572,73.87449464260288,Public Transport Issue,Critical,In Progress,2025-06-05
254,Maharashtra,Pune,18.510787411293066,73.81220232568175,Electricity Problem,Low,Open,2026-02-16
255,Maharashtra,Pune,18.48500298598164,73.84332685706967,Road Damage,Low,Resolved,2026-02-12
256,Maharashtra,Pune,18.4824625117618,73.8375586278203,Garbage Collection,Critical,Open,2025-10-21
257,Maharashtra,Pune,18.565010056900956,73.88477979247294,Traffic Congestion,High,Resolved,2025-05-27
258,Maharashtra,Pune,18.5432138101273,73.85479458397151,Road Damage,Critical,In Progress,2025-04-15
259,Maharashtra,Pune,18.56006005061294,73.85322710808084,Garbage Collection,Medium,Open,2025-12-07
260,Maharashtra,Pune,18.52725636118265,73.88045111624928,Water Supply Issue,Critical,Open,2025-06-22
261,Maharashtra,Pune,18.562286204272347,73.87262586466036,Public Transport Issue,High,Resolved,2025-09-27
262,Maharashtra,Pune,18.474181632677364,73.88634894575195,Streetlight Failure,Critical,In Progress,2025-11-09
263,Maharashtra,Pune,18.55795768121716,73.83277726450733,Sewage Leakage,Low,In Progress,2025-06-29
264,Maharashtra,Pune,18.470744373808888,73.85390478632563,Water Supply Issue,Low,In Progress,2026-03-01
265,Maharashtra,Pune,18.5484473997595,73.86883810672538,Road Damage,Medium,In Progress,2025-12-04
